Password,Name,React Score,Box Score,Guess Score,Genre
Gamemaking,Vincent,999,999,999,Programmed all the games and the sorting of scores!
Addingscores,Luke,0,0,0,Did the really cool programming to add your files!
<<<<<<< HEAD
Printingtheusers,Fairus,0,0,1,Did all the programming to prints user's profiles
password,john,0,0,0,profile
admin,admin,1000,1000,1000,Default creds! Change me!
bib,bib,1,2,1,bib
pneumonoultramicroscopicsilicovolcanoconiosis,pneumonoultramicroscopicsilicovolcanoconiosis,1,3,3,pneumonoultramicroscopicsilicovolcanoconios
=======
Printingtheusers,Fairus,0,0,7,Did all the programming to prints user's profiles
>>>>>>> e85de660ce2d50881ea5e6fb88d3d2efc3b8a652
